Year,시도,Value
2009,0.전국,24.2
2010,0.전국,24.0
2011,0.전국,24.0
2012,0.전국,23.6
2013,0.전국,23.9
2014,0.전국,24.2
2015,0.전국,24.4
2016,0.전국,25.6
2017,0.전국,27.2
2018,0.전국,29.1
2019,0.전국,32.1
2020,0.전국,30.2
2021,0.전국,36.7
2009,1.수도권,28.60688413
2010,1.수도권,28.35267422
2011,1.수도권,28.42150795
2012,1.수도권,26.63494528
2013,1.수도권,27.42796346
2014,1.수도권,28.02668313
2015,1.수도권,28.39255735
2016,1.수도권,29.84981628
2017,1.수도권,31.75769446
2018,1.수도권,34.54536325
2019,1.수도권,38.29143808
2020,1.수도권,35.83204789
2021,1.수도권,42.98528096
2009,2.서울특별시,33.1
2010,2.서울특별시,32.1
2011,2.서울특별시,32.8
2012,2.서울특별시,31.2
2013,2.서울특별시,32.8
2014,2.서울특별시,33.5
2015,2.서울특별시,33.8
2016,2.서울특별시,35.2
2017,2.서울특별시,39.1
2018,2.서울특별시,41.1
2019,2.서울특별시,45.1
2020,2.서울특별시,45.3
2021,2.서울특별시,52.9
2009,3.인천광역시,22.1
2010,3.인천광역시,22.0
2011,3.인천광역시,21.4
2012,3.인천광역시,20.3
2013,3.인천광역시,20.8
2014,3.인천광역시,21.1
2015,3.인천광역시,21.3
2016,3.인천광역시,23.2
2017,3.인천광역시,25.1
2018,3.인천광역시,27.7
2019,3.인천광역시,31.3
2020,3.인천광역시,30.1
2021,3.인천광역시,34.4
2009,4.경기도,26.9
2010,4.경기도,27.1
2011,4.경기도,26.9
2012,4.경기도,24.9
2013,4.경기도,25.3
2014,4.경기도,26.0
2015,4.경기도,26.5
2016,4.경기도,27.9
2017,4.경기도,28.7
2018,4.경기도,32.1
2019,4.경기도,35.8
2020,4.경기도,31.6
2021,4.경기도,39.3
