Year,시도,Value
2006,0.전국,79.46483296
2008,0.전국,74.65040322
2010,0.전국,80.9
2012,0.전국,56.8
2014,0.전국,79.8
2016,0.전국,83.9
2017,0.전국,86.2
2018,0.전국,85.9
2019,0.전국,84.8
2020,0.전국,86.43984303
2006,1.수도권,78.76199707
2008,1.수도권,75.09402269
2010,1.수도권,79.5
2012,1.수도권,56.8
2014,1.수도권,79.3
2016,1.수도권,84.3
2017,1.수도권,86.2
2018,1.수도권,85.6
2019,1.수도권,85.8
2020,1.수도권,86.41045869
2006,2.서울특별시,81.71391772
2008,2.서울특별시,78.57124885
2010,2.서울특별시,81.4
2012,2.서울특별시,60.3
2014,2.서울특별시,80.9
2016,2.서울특별시,86.9
2017,2.서울특별시,89.3
2018,2.서울특별시,88.6
2019,2.서울특별시,87.5
2020,2.서울특별시,88.79586604
2006,3.인천광역시,71.47272652
2008,3.인천광역시,72.55585429
2010,3.인천광역시,77.0
2012,3.인천광역시,54.6
2014,3.인천광역시,74.2
2016,3.인천광역시,80.6
2017,3.인천광역시,84.6
2018,3.인천광역시,79.5
2019,3.인천광역시,82.5
2020,3.인천광역시,84.10552334
2006,4.경기도,77.62329288
2008,4.경기도,72.32516558
2010,4.경기도,78.5
2012,4.경기도,54.1
2014,4.경기도,79.2
2016,4.경기도,83.0
2017,4.경기도,83.8
2018,4.경기도,84.5
2019,4.경기도,85.2
2020,4.경기도,85.0428787
