Year,지역,Value
2001,0.전국,25.52
2002,0.전국,26.63
2003,0.전국,30.24
2004,0.전국,31.08
2005,0.전국,32.37
2006,0.전국,33.85
2007,0.전국,35.27
2008,0.전국,36.84
2009,0.전국,38.21
2010,0.전국,38.9
2011,0.전국,39.93
2012,0.전국,41.1
2013,0.전국,42.25
2014,0.전국,43.03
2015,0.전국,43.75
2016,0.전국,44.7
2017,0.전국,45.59
2018,0.전국,46.63
2019,0.전국,47.25
2020,0.전국,47.77
2021,0.전국,48.51
2022,0.전국,49.51
2001,1.수도권,29.57
2002,1.수도권,30.49
2003,1.수도권,34.73
2004,1.수도권,35.22
2005,1.수도권,36.15
2006,1.수도권,37.61
2007,1.수도권,39.45
2008,1.수도권,40.99
2009,1.수도권,42.91
2010,1.수도권,43.47
2011,1.수도권,44.75
2012,1.수도권,45.98
2013,1.수도권,46.75
2014,1.수도권,47.06
2015,1.수도권,47.87
2016,1.수도권,48.82
2017,1.수도권,49.3
2018,1.수도권,50.64
2019,1.수도권,51.44
2020,1.수도권,52.3
2021,1.수도권,52.8
2022,1.수도권,53.8
2001,2.충청권,21.35
2002,2.충청권,22.67
2003,2.충청권,25.92
2004,2.충청권,27.19
2005,2.충청권,28.96
2006,2.충청권,29.94
2007,2.충청권,30.39
2008,2.충청권,32.35
2009,2.충청권,34.42
2010,2.충청권,34.89
2011,2.충청권,35.19
2012,2.충청권,35.8
2013,2.충청권,37.73
2014,2.충청권,38.43
2015,2.충청권,39.43
2016,2.충청권,40.95
2017,2.충청권,42.49
2018,2.충청권,42.77
2019,2.충청권,43.18
2020,2.충청권,43.02
2021,2.충청권,44.76
2022,2.충청권,45.76
2001,3.호남권,21.12
2002,3.호남권,21.59
2003,3.호남권,25.78
2004,3.호남권,26.43
2005,3.호남권,26.97
2006,3.호남권,28.13
2007,3.호남권,29.96
2008,3.호남권,31.78
2009,3.호남권,32.32
2010,3.호남권,33.33
2011,3.호남권,34.72
2012,3.호남권,35.89
2013,3.호남권,37.11
2014,3.호남권,38.01
2015,3.호남권,38.21
2016,3.호남권,39.01
2017,3.호남권,40.81
2018,3.호남권,41.45
2019,3.호남권,42.01
2020,3.호남권,41.84
2021,3.호남권,41.83
2022,3.호남권,42.83
2001,4.대경권,22.4
2002,4.대경권,23.07
2003,4.대경권,26.38
2004,4.대경권,27.17
2005,4.대경권,28.7
2006,4.대경권,30.37
2007,4.대경권,31.77
2008,4.대경권,33.7
2009,4.대경권,33.4
2010,4.대경권,33.27
2011,4.대경권,34.19
2012,4.대경권,35.73
2013,4.대경권,37.82
2014,4.대경권,38.41
2015,4.대경권,38.99
2016,4.대경권,39.43
2017,4.대경권,40.98
2018,4.대경권,41.01
2019,4.대경권,41.5
2020,4.대경권,42.98
2021,4.대경권,44.75
2022,4.대경권,45.75
2001,5.동남권,22.5
2002,5.동남권,24.25
2003,5.동남권,27.32
2004,5.동남권,28.79
2005,5.동남권,30.67
2006,5.동남권,32.06
2007,5.동남권,32.46
2008,5.동남권,33.62
2009,5.동남권,35.24
2010,5.동남권,35.75
2011,5.동남권,35.54
2012,5.동남권,36.75
2013,5.동남권,38.53
2014,5.동남권,40.58
2015,5.동남권,41.16
2016,5.동남권,42.25
2017,5.동남권,43.2
2018,5.동남권,44.24
2019,5.동남권,43.89
2020,5.동남권,43.13
2021,5.동남권,44.22
2022,5.동남권,45.22
2001,6.강원권,18.82
2002,6.강원권,19.29
2003,6.강원권,22.95
2004,6.강원권,24.17
2005,6.강원권,25.11
2006,6.강원권,26.58
2007,6.강원권,29.21
2008,6.강원권,30.81
2009,6.강원권,28.73
2010,6.강원권,29.39
2011,6.강원권,30.55
2012,6.강원권,31.86
2013,6.강원권,33.61
2014,6.강원권,35.67
2015,6.강원권,34.64
2016,6.강원권,36.84
2017,6.강원권,36.25
2018,6.강원권,39.16
2019,6.강원권,38.53
2020,6.강원권,39.78
2021,6.강원권,38.45
2022,6.강원권,39.45
2001,7.제주권,2500
2002,7.제주권,24.73
2003,7.제주권,26.48
2004,7.제주권,28.13
2005,7.제주권,31.16
2006,7.제주권,33.9
2007,7.제주권,35.84
2008,7.제주권,37.41
2009,7.제주권,36.18
2010,7.제주권,36.68
2011,7.제주권,40.13
2012,7.제주권,40.07
2013,7.제주권,4000
2014,7.제주권,40.43
2015,7.제주권,41.33
2016,7.제주권,44.08
2017,7.제주권,45.55
2018,7.제주권,48.02
2019,7.제주권,47.69
2020,7.제주권,47.16
2021,7.제주권,49.37
2022,7.제주권,50.37
